,genre,subset,train_accuracy,test_accuracy,train_weighted_f1,train_weighted_precision,train_weighted_recall,test_weighted_f1,test_weighted_precision,test_weighted_recall,classifier,representation,segmentation
248,antiphon,full,0.9828971770039151,0.9050252464534744,0.9828759006996641,0.9829463331921974,0.9828971770039151,0.9042390583926379,0.9053496568633773,0.9050252464534744,linear_svc,interval-dependent,4-mer
249,antiphon,full,0.9958788378322687,0.9112767492185622,0.9958760233395882,0.995883436021393,0.9958788378322687,0.9104638587303975,0.9114950473926159,0.9112767492185622,linear_svc,interval-dependent,5-mer
250,antiphon,full,0.9880486297135792,0.8970906467900938,0.9880261288819098,0.9880761331710658,0.9880486297135792,0.8957057060144543,0.8979178916531546,0.8970906467900938,linear_svc,interval-dependent,6-mer
251,antiphon,full,0.9760972594271584,0.8742486174561193,0.9760288195148057,0.9763117794518036,0.9760972594271584,0.8722036935695737,0.8760239723873224,0.8742486174561193,linear_svc,interval-dependent,7-mer
252,antiphon,full,0.9650731506284772,0.8542918970906468,0.9651414925264473,0.9661641210349536,0.9650731506284772,0.8513963780752783,0.8573878315016136,0.8542918970906468,linear_svc,interval-dependent,8-mer
253,antiphon,full,0.9256130228724501,0.8220726136090406,0.9256500585117307,0.9311509178808491,0.9256130228724501,0.8204686389187462,0.8396855528720455,0.8220726136090406,linear_svc,interval-dependent,9-mer
254,antiphon,full,0.8959406552647847,0.7852849242606396,0.8961395642772249,0.9067116667259821,0.8959406552647847,0.7829860554633477,0.8140724720178173,0.7852849242606396,linear_svc,interval-dependent,10-mer
255,antiphon,full,0.8641046775190604,0.7280596297186823,0.8647544169614213,0.8845525549833786,0.8641046775190604,0.7249048058706763,0.7784045140234691,0.7280596297186823,linear_svc,interval-dependent,11-mer
256,antiphon,full,0.8453533896558829,0.7095455638374609,0.8475941935649107,0.8786039060734818,0.8453533896558829,0.7109420482626747,0.789805180188837,0.7095455638374609,linear_svc,interval-dependent,12-mer
257,antiphon,full,0.8281475376056048,0.669632123106516,0.8313727498855171,0.8705690085247247,0.8281475376056048,0.6703475276178288,0.7696651861596235,0.669632123106516,linear_svc,interval-dependent,13-mer
258,antiphon,full,0.8085720173088811,0.6354893003125751,0.8128055977179144,0.8602390691553305,0.8085720173088811,0.6350479996325453,0.7612507986804025,0.6354893003125751,linear_svc,interval-dependent,14-mer
259,antiphon,full,0.7998145477024521,0.6114450589083914,0.8040340020651535,0.8537138259029434,0.7998145477024521,0.6085216076247115,0.7375714737599858,0.6114450589083914,linear_svc,interval-dependent,15-mer
260,antiphon,full,0.782608695652174,0.5722529454195721,0.7873262294545232,0.8484233337872671,0.782608695652174,0.5644498170938484,0.7391868221196198,0.5722529454195721,linear_svc,interval-dependent,16-mer
261,antiphon,full,0.9926849371522769,0.7749459004568406,0.992683113529721,0.9927044651693296,0.9926849371522769,0.7712233272770518,0.772050395046114,0.7749459004568406,linear_svc,interval-dependent,poisson-3
262,antiphon,full,0.9582732330517206,0.7795143063236355,0.9581372305193667,0.9587738870065157,0.9582732330517206,0.773235650740209,0.7800498292707004,0.7795143063236355,linear_svc,interval-dependent,poisson-5
